NUM,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z
1,-3.55118,0.38605,3.3017,-3.48987,-23.8239,-6.20528,-2.0008,-2.53215,1.07088,-8.42843,-49.9722,-3.049,1.77087,-1.71471,4.98559,3.69158,-45.839,0.6768
2,-3.2729,0.26065,3.06966,-3.77037,-23.7456,-5.9008,-2.30529,-2.49553,0.989773,-8.29523,-49.8669,-3.15195,2.10858,-1.717,5.35833,3.46516,-45.8989,-0.219303
3,-3.2729,0.26065,3.06966,-3.77037,-23.7456,-5.9008,-2.30529,-2.49553,0.989773,-8.29523,-49.8669,-3.15195,2.10858,-1.717,5.35833,3.46516,-45.8989,-0.219303
4,-3.27901,0.192816,3.60116,-3.99532,-23.6062,-7.24443,-2.46824,-2.51001,0.565553,-8.32725,-49.9824,-2.29732,1.87052,-1.8256,5.72085,3.64639,-45.8162,0.320507
5,-3.27901,0.192816,3.60116,-3.99532,-23.6062,-7.24443,-2.46824,-2.51001,0.565553,-8.32725,-49.9824,-2.29732,1.87052,-1.8256,5.72085,3.64639,-45.8162,0.320507
6,-3.27901,0.192816,3.60116,-3.99532,-23.6062,-7.24443,-2.46824,-2.51001,0.565553,-8.32725,-49.9824,-2.29732,1.87052,-1.8256,5.72085,3.64639,-45.8162,0.320507
7,-3.2794,0.356886,3.43191,-3.66044,-23.6972,-6.76866,-1.97666,-2.55334,0.860488,-8.39297,-50.0002,-2.69731,1.70694,-1.70685,5.0315,3.66395,-45.8698,0.453075
8,-3.2794,0.356886,3.43191,-3.66044,-23.6972,-6.76866,-1.97666,-2.55334,0.860488,-8.39297,-50.0002,-2.69731,1.70694,-1.70685,5.0315,3.66395,-45.8698,0.453075
9,-3.2794,0.356886,3.43191,-3.66044,-23.6972,-6.76866,-1.97666,-2.55334,0.860488,-8.39297,-50.0002,-2.69731,1.70694,-1.70685,5.0315,3.66395,-45.8698,0.453075
10,-3.29949,0.141687,3.56602,-4.04515,-23.6103,-7.12915,-2.0466,-2.30509,0.664817,-8.05418,-49.9941,-2.46219,1.59386,-1.83317,5.51014,3.61081,-45.8466,0.415476
11,-3.29949,0.141687,3.56602,-4.04515,-23.6103,-7.12915,-2.0466,-2.30509,0.664817,-8.05418,-49.9941,-2.46219,1.59386,-1.83317,5.51014,3.61081,-45.8466,0.415476
12,-3.43108,0.131713,3.6266,-3.97285,-23.6694,-6.96484,-2.08422,-2.36123,0.569124,-8.29284,-49.9122,-2.92232,1.9496,-1.80577,5.59568,3.54343,-45.8858,0.115235
13,-3.43108,0.131713,3.6266,-3.97285,-23.6694,-6.96484,-2.08422,-2.36123,0.569124,-8.29284,-49.9122,-2.92232,1.9496,-1.80577,5.59568,3.54343,-45.8858,0.115235
14,-3.09261,0.211295,3.76807,-4.03405,-23.6487,-7.46957,-2.32379,-2.51032,0.328792,-8.3042,-50.0703,-1.66876,1.71865,-1.73553,5.07041,3.62687,-45.8901,0.438839
15,-3.09261,0.211295,3.76807,-4.03405,-23.6487,-7.46957,-2.32379,-2.51032,0.328792,-8.3042,-50.0703,-1.66876,1.71865,-1.73553,5.07041,3.62687,-45.8901,0.438839
16,-3.79056,0.219578,2.99793,-3.70429,-24.0126,-5.10636,-2.02462,-2.40706,0.617488,-8.22351,-49.9371,-2.62609,1.83021,-1.82138,5.67652,3.47072,-45.8699,-0.112153
17,-3.79056,0.219578,2.99793,-3.70429,-24.0126,-5.10636,-2.02462,-2.40706,0.617488,-8.22351,-49.9371,-2.62609,1.83021,-1.82138,5.67652,3.47072,-45.8699,-0.112153
18,-3.79056,0.219578,2.99793,-3.70429,-24.0126,-5.10636,-2.02462,-2.40706,0.617488,-8.22351,-49.9371,-2.62609,1.83021,-1.82138,5.67652,3.47072,-45.8699,-0.112153
19,-3.34646,0.307481,3.33356,-3.75022,-23.7085,-6.60057,-2.37307,-2.48479,0.384353,-8.21314,-49.9957,-2.0374,1.78879,-1.86334,5.98147,3.49137,-45.8342,-0.201526
20,-3.34646,0.307481,3.33356,-3.75022,-23.7085,-6.60057,-2.37307,-2.48479,0.384353,-8.21314,-49.9957,-2.0374,1.78879,-1.86334,5.98147,3.49137,-45.8342,-0.201526
21,-3.39691,0.208625,3.2388,-3.92613,-23.7623,-6.20467,-1.98176,-2.44252,0.88259,-8.30363,-49.9787,-2.80136,1.76569,-1.79415,4.96518,3.53453,-45.9028,0.319493
22,-3.39691,0.208625,3.2388,-3.92613,-23.7623,-6.20467,-1.98176,-2.44252,0.88259,-8.30363,-49.9787,-2.80136,1.76569,-1.79415,4.96518,3.53453,-45.9028,0.319493
23,-3.39691,0.208625,3.2388,-3.92613,-23.7623,-6.20467,-1.98176,-2.44252,0.88259,-8.30363,-49.9787,-2.80136,1.76569,-1.79415,4.96518,3.53453,-45.9028,0.319493
24,-3.7277,0.303636,2.91048,-3.56929,-24.0866,-4.83448,-2.27539,-2.51734,0.669507,-8.48547,-49.9242,-2.89658,1.85728,-1.77131,5.60759,3.64036,-45.8473,0.342726
25,-3.7277,0.303636,2.91048,-3.56929,-24.0866,-4.83448,-2.27539,-2.51734,0.669507,-8.48547,-49.9242,-2.89658,1.85728,-1.77131,5.60759,3.64036,-45.8473,0.342726
26,-3.62205,0.197016,3.15386,-3.87289,-23.8507,-5.76122,-2.10401,-2.49876,0.765266,-8.45709,-49.8994,-3.05728,2.11941,-1.78193,5.50579,3.59724,-45.87,0.209902
27,-3.62205,0.197016,3.15386,-3.87289,-23.8507,-5.76122,-2.10401,-2.49876,0.765266,-8.45709,-49.8994,-3.05728,2.11941,-1.78193,5.50579,3.59724,-45.87,0.209902
28,-3.62205,0.197016,3.15386,-3.87289,-23.8507,-5.76122,-2.10401,-2.49876,0.765266,-8.45709,-49.8994,-3.05728,2.11941,-1.78193,5.50579,3.59724,-45.87,0.209902
29,-3.42914,0.211815,3.25379,-3.76498,-23.874,-5.89363,-2.08754,-2.37834,0.495195,-8.41598,-49.8843,-3.08019,1.65498,-1.89027,5.64254,3.63283,-45.8776,0.337471
30,-3.9728,0.247486,3.07353,-3.67673,-23.9665,-5.35477,-2.08114,-2.53313,0.755974,-8.50064,-49.9318,-2.92199,1.96702,-1.75217,5.29698,3.61825,-45.8864,0.292575
31,-3.9728,0.247486,3.07353,-3.67673,-23.9665,-5.35477,-2.08114,-2.53313,0.755974,-8.50064,-49.9318,-2.92199,1.96702,-1.75217,5.29698,3.61825,-45.8864,0.292575
32,-3.9728,0.247486,3.07353,-3.67673,-23.9665,-5.35477,-2.08114,-2.53313,0.755974,-8.50064,-49.9318,-2.92199,1.96702,-1.75217,5.29698,3.61825,-45.8864,0.292575
