气压,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z
0,-2.3613,-4.80196,3.08068,-12.3935,-24.5354,-4.38779,-1.75684,2.14542,2.11258,-1.74809,-49.4399,-3.58096,0.93033,-0.355362,6.28042,1.75038,-46.1055,-0.28732
5,-2.03293,-5.89096,3.09439,-15.3645,-24.1064,-5.3068,-1.9863,1.02636,2.73975,-2.30516,-49.6642,-3.53092,0.947319,-0.00280808,5.65868,2.08123,-46.0193,0.297021
10,-1.31197,-8.32418,3.50148,-20.4661,-22.7181,-6.78651,-1.67789,-1.57075,2.4293,-5.54787,-49.9094,-3.32097,0.945082,-0.101119,6.15039,2.04678,-46.0019,0.0461274
15,-0.964959,-10.7222,3.418,-23.6448,-21.9422,-5.70051,-1.8279,-3.97598,2.50294,-9.01036,-49.9412,-3.73101,1.02056,-0.260374,5.8283,1.91761,-46.064,0.134518
35,1.0672,-17.7568,3.59464,-35.7415,-12.8025,-7.35891,-1.23705,-17.0326,1.90472,-24.0045,-48.7614,-2.09379,0.981739,-0.244004,5.91597,1.76116,-46.1081,-0.0795253
45,1.88981,-20.1138,3.32363,-38.3194,-7.30324,-7.55995,-1.23703,-24.3324,2.00457,-31.7885,-46.5714,-1.4286,1.1689,-0.116236,5.7288,1.11784,-46.0785,-0.455332
55,2.53638,-22.4342,2.90113,-39.4302,-1.36855,-7.20728,-0.937765,-31.3661,1.75041,-40.2431,-43.0881,-1.52812,1.05876,-0.180284,6.01691,1.91778,-46.0317,0.0086209
65,2.8327,-17.4136,2.62492,-35.3005,-3.13633,-8.33337,-0.864794,-36.3683,1.8236,-45.5631,-41.0849,-1.36643,0.839005,-0.0716753,5.91772,2.34578,-45.945,0.439429
75,3.63505,-31.4137,1.33926,-44.5971,15.266,-5.26648,-0.635325,-41.5646,1.58751,-51.7964,-36.8012,-1.91153,1.01312,-0.10187,5.89002,2.25202,-45.9803,0.282758
75,3.70207,-31.553,1.35371,-44.9828,15.6885,-5.7804,-0.532926,-41.385,1.61843,-51.729,-36.9119,-2.0829,0.865057,-0.111486,5.82045,2.38453,-45.9862,0.438682
85,3.89214,-35.8954,0.396492,-43.9597,22.92,-2.93585,-0.45705,-46.6217,1.45245,-56.7643,-32.1691,-2.05011,1.09846,-0.0940836,5.7655,1.64525,-46.0993,-0.170969
95,3.77185,-40.3926,-0.417536,-43.3319,29.6974,-0.755861,-0.219343,-51.3045,1.29793,-60.938,-28.0546,-2.05438,0.960955,-0.16946,5.85952,1.75221,-45.9946,-0.0731337
105,3.56606,-46.0222,-1.2814,-41.1565,38.351,1.89197,0.0592335,-56.3917,0.836207,-65.907,-22.9145,-2.32276,0.864416,-0.117489,5.8588,2.41346,-46.0093,0.393236
115,3.23537,-50.0108,-2.0207,-37.1161,44.2782,4.25111,-0.0534266,-61.5569,0.875776,-69.2027,-17.4306,-2.17058,0.985157,-0.0191816,5.67363,1.92275,-46.0148,0.0745678
125,3.02704,-54.3783,-2.59519,-32.1589,50.7819,5.69364,0.236075,-66.0523,0.367762,-72.6091,-12.1377,-2.40288,0.906065,-0.19196,5.98271,2.39957,-45.9796,0.328728
135,2.60596,-57.9208,-3.0179,-26.4502,55.6606,6.85196,0.302499,-71.0851,0.136187,-75.4528,-7.0302,-1.90072,0.814661,-0.156304,5.75634,2.75749,-45.9225,0.724601
145,2.15778,-61.5843,-3.85558,-17.8307,60.3971,8.23693,0.261346,-76.3299,-0.0300547,-77.5872,-0.166404,-1.92372,0.928384,-0.301024,6.11567,2.22738,-46.0127,0.2271
155,1.44995,-66.6989,-4.39247,-8.10287,65.7256,9.15257,0.427031,-81.2062,0.0295281,-79.0487,5.92334,-2.25536,1.0028,-0.133034,5.85617,2.07793,-45.9997,0.183531
165,1.20743,-61.9684,-3.86638,-7.79286,59.5117,9.05627,0.388613,-85.7359,-0.536086,-79.9693,11.7563,-1.74504,0.992388,-0.264983,5.80979,2.32287,-45.9778,0.452731
175,0.532942,-77.8478,-4.30855,16.4527,75.1978,6.42479,0.0714477,-90.0154,-0.712471,-80.6036,15.2692,-0.0831091,0.997469,-0.2464,5.92944,2.18303,-45.9353,0.31418
