NUM,ID,STAMP,Pressure_IP,Pressure_MCPB,Pressure_MCPAL,Pressure_MCPAR,EGaIn_DIP,EGaIn_PIP,EGaIn_MCPL,EGaIn_MCPR,FORCE1,FORCE2,FORCE3,FORCE4,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z,T_Force_X,T_Force_Y,T_Force_Z,T_Torque_X,T_Torque_Y,T_Torque_Z
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115207,-0.49077,-0.888898,-27.5639,18.4613,1.6898,0.00798118,0.168233,-0.443442,-34.7951,11.5588,3.26831,0.168964,0.0926107,-0.0648252,-51.8809,10.8389,0.165635,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000336,-0.470108,-1.13292,-27.5778,18.3529,1.42144,0.0885473,0.178852,-0.197558,-34.9251,11.8649,3.0543,0.168192,0.206011,-0.102764,-51.9024,10.7754,0.187272,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0480235,-0.595497,-1.10384,-27.5235,18.6418,1.27408,0.125679,0.214327,-0.223611,-34.9507,11.7582,3.13287,0.0722862,0.108287,-0.175901,-51.8549,10.6272,0.310296,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064422,-0.565455,-0.795678,-27.5309,18.699,1.49725,0.0103624,0.181459,-0.265372,-34.9134,11.818,2.99068,0.0574047,0.113218,-0.204636,-51.6983,10.4274,0.576256,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0231618,-0.523938,-1.08564,-27.5383,18.4848,1.35753,0.0893902,0.230767,-0.155586,-34.9032,11.7401,3.13569,0.164987,0.0422532,-0.0341288,-52.0219,11.0444,-0.0813764,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549772,-0.436966,-0.917246,-27.588,18.4708,1.43275,0.136185,0.14368,-0.288727,-34.8718,11.8346,3.1908,0.0568714,0.0751722,-0.118706,-51.7934,10.6265,0.301147,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0453464,-0.602084,-0.844629,-27.5285,18.7872,1.24699,0.183203,0.216505,-0.280188,-34.8931,11.6825,3.26945,-0.0706288,0.103973,-0.160563,-51.7344,10.5178,0.372713,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0453464,-0.602084,-0.844629,-27.5285,18.7872,1.24699,0.183203,0.216505,-0.280188,-34.8931,11.6825,3.26945,-0.0706288,0.103973,-0.160563,-51.7344,10.5178,0.372713,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155958,-0.544698,-0.904125,-27.5304,18.5756,1.45942,0.151095,0.261494,-0.168561,-34.9571,11.7745,3.10442,0.0408016,0.0479021,-0.119291,-51.8692,10.7688,0.178036,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00312953,-0.557439,-0.820155,-27.5713,18.72,1.29832,0.207936,0.303004,-0.362789,-34.8622,11.4228,3.46888,-0.0174554,0.125386,-0.17712,-51.8164,10.7533,0.180078,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0380334,-0.652797,-1.05243,-27.4948,18.7232,1.33103,0.0625147,0.343841,-0.380036,-34.8271,11.2983,3.39171,0.0551541,0.025978,-0.030312,-51.916,10.9755,0.0632185,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13444,-0.519645,-0.725903,-27.5827,18.7756,1.40755,0.0913676,0.231052,-0.327807,-34.8496,11.5168,3.32272,0.150505,0.23977,-0.133782,-51.9504,10.8999,0.0289043,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0195124,-0.623386,-1.14022,-27.5126,18.6661,1.28797,0.103853,0.266593,-0.243041,-34.9175,11.6136,3.17431,0.182315,0.189275,-0.201008,-52.0214,11.0046,-0.100208,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403275,-0.576223,-0.857446,-27.5414,18.7791,1.32882,0.19205,0.222915,-0.209308,-34.9117,11.6881,3.26603,0.0755522,0.164557,-0.237777,-52.0142,10.9439,-0.0595749,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099118,-0.502961,-0.940636,-27.5803,18.5662,1.51695,0.119537,0.181225,-0.236945,-34.9166,11.7824,3.15955,0.047038,0.12298,-0.157339,-51.8262,10.5982,0.326391,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099118,-0.502961,-0.940636,-27.5803,18.5662,1.51695,0.119537,0.181225,-0.236945,-34.9166,11.7824,3.15955,0.047038,0.12298,-0.157339,-51.8262,10.5982,0.326391,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254395,-0.427701,-0.712182,-27.6452,18.647,1.56721,-0.0303178,0.137851,-0.392721,-34.8411,11.6455,3.12857,0.11408,0.18274,-0.145403,-51.8238,10.6283,0.29065,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874271,-0.537629,-0.730609,-27.5646,18.7416,1.41783,-0.0621418,0.132919,-0.382909,-34.8037,11.5793,3.19802,0.19267,0.217414,-0.0397615,-51.9035,10.7829,0.185895,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105301,-0.462213,-1.03219,-27.5561,18.3884,1.59581,0.0414212,0.183929,-0.340803,-34.8,11.6239,3.23932,0.193327,0.180702,-0.0490954,-52.0233,11.1353,-0.129619,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0391294,-0.575856,-0.996814,-27.511,18.6227,1.32757,0.094075,0.213702,-0.255201,-34.8678,11.6934,3.19024,0.0860763,0.0514333,-0.108325,-51.8142,10.7172,0.257041,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107609,-0.628178,-1.07822,-27.4879,18.7661,1.04056,0.10353,0.162637,-0.139538,-34.9249,11.8499,3.06453,0.213153,0.123382,-0.178973,-52.0182,10.8844,-0.0222531,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103817,-0.589251,-1.009,-27.4989,18.7501,1.25869,0.186335,0.302265,-0.193681,-34.9326,11.7169,3.14779,-0.0272919,0.090154,-0.249038,-51.7104,10.6253,0.336225,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107296,-0.504659,-0.798108,-27.5726,18.7696,1.26854,0.115471,0.223752,-0.165481,-34.97,11.887,2.95213,-0.0146268,0.0765591,-0.171953,-51.7559,10.5474,0.348929,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454956,-0.479732,-0.975804,-27.5553,18.5399,1.32083,0.139976,0.237519,-0.100086,-34.9619,11.9125,2.96886,0.0502926,0.119042,-0.242388,-51.8625,10.7838,0.138646,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454956,-0.479732,-0.975804,-27.5553,18.5399,1.32083,0.139976,0.237519,-0.100086,-34.9619,11.9125,2.96886,0.0502926,0.119042,-0.242388,-51.8625,10.7838,0.138646,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127042,-0.382829,-0.935768,-27.6217,18.4652,1.35488,0.0365721,0.146559,-0.267266,-34.8685,11.8505,3.02307,0.0681462,0.16742,-0.213237,-51.8864,10.8039,0.170513,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36538,-0.435639,-0.863442,-27.6188,18.8807,1.35274,-0.0599872,0.220871,-0.336541,-34.8363,11.5406,3.11804,0.158818,0.0682444,0.0498525,-52.1559,11.3079,-0.346052,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130815,-0.439003,-0.82703,-27.6203,18.7525,1.16732,0.0969038,0.225975,-0.193451,-34.9154,11.7859,3.07498,0.0233493,0.0174273,-0.166378,-51.7404,10.5546,0.387221,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0160137,-0.571701,-1.2394,-27.5717,18.756,0.986351,0.0999496,0.220214,-0.256599,-34.873,11.5774,3.30072,0.17164,0.134923,-0.100144,-51.9269,10.8192,0.0932506,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158071,-0.42856,-0.915985,-27.6386,18.6921,1.27686,0.0671183,0.151119,-0.217607,-34.876,11.7646,3.15964,0.000727389,0.164321,-0.138174,-51.8792,10.7508,0.147656,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945461,-0.514476,-0.949038,-27.5721,18.6051,1.41232,0.0121658,0.233807,-0.361172,-34.8756,11.604,3.12344,0.113326,0.0886226,-0.139767,-51.9131,10.848,0.107947,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307238,-0.557314,-0.913676,-27.5584,18.792,1.22234,0.111053,0.192672,-0.326972,-34.8806,11.6428,3.25681,0.0154733,0.284565,-0.318579,-51.7106,10.5011,0.425701,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0984122,-0.46566,-0.909845,-27.5948,18.573,1.43249,0.11843,0.183929,-0.294845,-34.926,11.8488,3.06098,0.0211102,0.044175,-0.148851,-51.913,10.8026,0.141181,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120312,-0.49009,-0.728768,-27.6275,18.6195,1.57437,0.057784,0.24764,-0.380327,-34.9537,11.7225,3.04354,0.0476205,0.108939,-0.215908,-51.7859,10.5815,0.42868,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146694,-0.483334,-0.993541,-27.6154,18.5306,1.61142,-0.0563312,0.193439,-0.276294,-34.9555,11.8192,2.91944,0.069723,0.0233279,-0.20909,-51.772,10.5303,0.52643,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0628753,-0.529056,-1.06705,-27.5948,18.6752,1.08155,-0.0318306,0.2254,-0.300082,-34.8966,11.6013,3.16186,0.0885586,0.0240381,-0.0746411,-51.9122,10.8116,0.259509,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019401,-0.529149,-0.8293,-27.6208,18.6684,1.43511,0.204337,0.227422,-0.271355,-34.9881,11.7369,3.26693,0.141503,0.217419,-0.105069,-51.9293,10.6769,0.281369,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154129,-0.47513,-0.936113,-27.646,18.5503,1.64655,-0.0145863,0.180644,-0.257703,-34.9637,11.7492,3.07221,0.0832979,0.151363,-0.186438,-51.879,10.6043,0.430871,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0285082,-0.518466,-0.943403,-27.62,18.6905,1.22807,0.122559,0.182535,-0.131957,-35.0379,11.983,3.00048,0.0559066,0.0804252,-0.123466,-51.8673,10.5278,0.457296,0,0,0,0,0,0
