NUM,ID,STAMP,Pressure_IP,Pressure_MCPB,Pressure_MCPAL,Pressure_MCPAR,EGaIn_DIP,EGaIn_PIP,EGaIn_MCPL,EGaIn_MCPR,FORCE1,FORCE2,FORCE3,FORCE4,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z,T_Force_X,T_Force_Y,T_Force_Z,T_Torque_X,T_Torque_Y,T_Torque_Z
1,3,35948,0.320733,0.473043,0.476292,0.333214,1.66992,4.95813,0.440885,0.579668,0.353281,0.273669,0.314726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002717,-0.007291,-0.036311,-1.92339,-0.579296,-0.997241
2,3,35950,0.312259,0.478851,0.456117,0.516486,1.66992,4.95816,0.439563,0.580194,0.355687,0.275274,0.307222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006638,-0.009771,-0.015111,-2.0643,-1.07402,-0.960902
3,3,35952,0.312165,0.342499,0.470006,0.427174,1.66992,4.95814,0.440406,0.579116,0.355253,0.274874,0.306326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006771,-0.011092,-0.056366,-1.98313,-0.65949,-1.01972
4,3,35953,0.323108,0.471546,0.452147,0.509235,1.66992,4.95817,0.439883,0.579712,0.355035,0.270234,0.307238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021149,-0.028611,0.004811,-2.3943,-2.64669,-0.904468
5,3,35955,0.331663,0.295083,0.4563,0.483187,1.66992,4.95809,0.43972,0.580598,0.356698,0.270228,0.304624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012351,-0.015424,-0.038346,-1.91192,-0.873688,-0.933105
6,3,35957,0.315774,0.48485,0.457174,0.47858,1.66992,4.95815,0.440066,0.581868,0.359383,0.272541,0.294783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005487,-0.007111,-0.04218,-2.02217,-0.6969,-0.979044
7,3,35958,0.334207,0.489248,0.460234,0.481523,1.66992,4.95817,0.44123,0.580816,0.360565,0.27303,0.297895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002234,-0.00537,-0.031143,-1.86238,-0.702178,-0.911744
8,3,35960,0.311473,0.486368,0.452434,0.497933,1.66992,4.95812,0.441208,0.580125,0.355994,0.276653,0.299483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007007,-0.010425,-0.044503,-1.96765,-0.672831,-0.979805
9,3,35961,0.335915,0.489853,0.484967,0.49262,1.66992,4.95812,0.43948,0.581762,0.354607,0.273276,0.297968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001009,-0.013347,-0.045103,-1.99768,-0.642,-0.924429
10,3,35963,0.319308,0.481536,0.45019,0.479765,1.66992,4.95815,0.438905,0.582669,0.351816,0.275071,0.297236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006794,-0.01239,-0.024759,-1.99255,-0.607639,-0.937216
11,3,35965,0.284923,0.461706,0.454543,0.490701,1.66992,4.95819,0.440516,0.580299,0.352162,0.269394,0.294504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004959,-0.01093,-0.029586,-1.99573,-0.566061,-0.970873
12,3,35965,0.284923,0.461706,0.454543,0.490701,1.66992,4.95819,0.440516,0.580299,0.352162,0.269394,0.294504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001258,-0.011377,-0.051552,-1.99787,-0.662838,-0.994906
13,3,35968,0.329366,0.316705,0.477144,0.486248,1.66992,4.9582,0.44129,0.581446,0.349873,0.255619,0.298808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005577,-0.010111,-0.009088,-1.95363,-0.654623,-0.95701
14,3,35970,0.298263,0.478603,0.461662,0.473056,1.66992,4.9581,0.439995,0.578344,0.346579,0.26809,0.31438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005467,-0.007352,-0.027276,-1.92386,-0.644944,-0.945024
15,3,35972,0.335857,0.504601,0.471184,0.489299,1.66992,4.95811,0.442218,0.581806,0.345809,0.268179,0.321505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007175,-0.010454,-0.049012,-1.9801,-0.664144,-1.00547
16,3,35972,0.335857,0.504601,0.471184,0.489299,1.66992,4.95811,0.442218,0.581806,0.345809,0.268179,0.321505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002384,-0.01227,-0.024825,-1.92931,-0.612482,-0.964459
17,3,35975,0.317083,0.463798,0.473036,0.490594,1.66992,4.95814,0.43975,0.579678,0.342719,0.26985,0.32801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009311,-0.010979,-0.029613,-2.04598,-0.539201,-0.970234
18,3,35977,0.342691,0.48997,0.481364,0.502327,1.66992,4.95804,0.439849,0.58172,0.346096,0.270309,0.321286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001171,-0.007725,-0.038172,-1.93843,-0.655757,-0.997364
19,3,35978,0.350743,0.488368,0.469711,0.499541,1.66992,4.95812,0.440094,0.581805,0.347136,0.273148,0.323213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000659,-0.008775,-0.02707,-1.94522,-0.630047,-0.96343
20,3,35980,0.317731,0.495636,0.443142,0.497864,1.66992,4.95809,0.440122,0.580677,0.343009,0.274107,0.326038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005264,-0.007597,-0.02932,-1.95028,-0.673622,-0.944748
21,3,35982,0.335974,0.492164,0.496648,0.49495,1.66992,4.95813,0.440204,0.579641,0.339379,0.270794,0.323597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000879,-0.01363,-0.035967,-1.98708,-0.636252,-0.979668
22,3,35983,0.332696,0.480736,0.453708,0.478909,1.66992,4.95814,0.441738,0.580104,0.341166,0.275747,0.329457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000282,-0.00855,-0.03163,-1.88145,-0.624633,-0.963595
23,3,35985,0.314247,0.471505,0.488837,0.472803,1.66992,4.95815,0.440193,0.579766,0.337851,0.267273,0.334127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002563,-0.002774,-0.024877,-1.8962,-0.610451,-0.981861
24,3,35987,0.326571,0.489816,0.445626,0.495367,1.66992,4.95812,0.440037,0.57942,0.336693,0.269075,0.341647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006837,-0.007367,-0.045143,-1.92383,-0.583454,-0.996454
25,3,35987,0.326571,0.489816,0.445626,0.495367,1.66992,4.95812,0.440037,0.57942,0.336693,0.269075,0.341647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004532,-0.011059,-0.036011,-1.92171,-0.613515,-0.971823
26,3,35990,0.334547,0.380612,0.476719,0.486618,1.66992,4.95813,0.440875,0.580905,0.342526,0.266222,0.335755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001051,-0.002942,-0.033791,-1.9342,-0.639777,-1.00636
27,3,35992,0.334979,0.356387,0.48223,0.492468,1.66992,4.9581,0.440966,0.581353,0.343139,0.262812,0.32379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005012,-0.004039,-0.03162,-1.95361,-0.595119,-0.997805
28,3,35993,0.335915,0.493892,0.476547,0.479036,1.66992,4.95808,0.440341,0.579137,0.345114,0.266708,0.321377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002953,-0.012378,-0.027147,-2.00457,-0.593863,-0.989293
29,3,35995,0.306021,0.474729,0.42691,0.464115,1.66992,4.95814,0.440471,0.581047,0.345952,0.271807,0.315107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004991,-0.011211,-0.033732,-1.9975,-0.6256,-0.944388
30,3,35997,0.325704,0.479057,0.446945,0.464699,1.66992,4.95807,0.440189,0.580447,0.344382,0.27438,0.314314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00672,-0.012165,-0.045022,-1.94078,-0.607031,-0.961365
31,3,35998,0.333239,0.473219,0.44471,0.516648,1.66992,4.95817,0.440914,0.581087,0.344698,0.275753,0.312524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002694,-0.007592,-0.038157,-1.92544,-0.654187,-0.944622
