NUM,ID,STAMP,Pressure_IP,Pressure_MCPB,Pressure_MCPAL,Pressure_MCPAR,EGaIn_DIP,EGaIn_PIP,EGaIn_MCPL,EGaIn_MCPR,FORCE1,FORCE2,FORCE3,FORCE4,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z,T_Force_X,T_Force_Y,T_Force_Z,T_Torque_X,T_Torque_Y,T_Torque_Z
1,3,181,-0.125707,-0.03698,-0.161283,-0.0224,1.66992,1.13735,0.627552,0.666659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001994,-0.033491,0.065653,-0.081892,0.231957,0.311459
2,3,183,-0.119148,-0.0141732,-0.161532,-0.033927,1.66992,1.13735,0.627556,0.666659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003326,-0.023358,0.036824,-0.043762,0.17105,0.156009
3,3,184,-0.10041,-0.0176282,-0.159549,-0.0403522,1.66992,1.13736,0.627556,0.666658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001944,-0.026753,0.074884,-0.040921,0.216397,0.256049
4,3,186,-0.124148,-0.0359489,-0.147191,-0.0416365,1.66992,1.13735,0.627555,0.666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00585,-0.024074,0.074661,-0.012201,0.263324,0.264955
5,3,188,-0.12768,-0.0497484,-0.1657,-0.0241195,1.66992,1.13735,0.627556,0.666657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00438,-0.028024,0.043521,-0.035249,0.239944,0.136261
6,3,189,-0.112405,-0.0236766,-0.143706,-0.0254983,1.66992,1.13736,0.627555,0.666657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006107,-0.02916,0.072731,-0.080748,0.212158,0.300754
7,3,191,-0.119346,-0.0214523,-0.155762,-0.0248673,1.66992,1.13736,0.627557,0.666661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003935,-0.030135,0.0658,-0.073703,0.173273,0.311619
8,3,193,-0.140089,-0.0332441,-0.16991,-0.0384468,1.66992,1.13735,0.627554,0.627592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002597,-0.024535,0.039075,-0.038707,0.214624,0.137327
9,3,195,-0.199342,-0.0335733,-0.164262,-0.0277185,1.66992,1.13735,0.627552,0.627592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176,-0.030141,0.072579,-0.049137,0.195939,0.309785
10,3,196,-0.128317,-0.0491132,-0.158968,-0.0636723,1.66992,1.13735,0.627557,0.66666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113,-0.030387,0.072724,-0.05055,0.195949,0.256188
