NUM,ID,STAMP,Pressure_IP,Pressure_MCPB,Pressure_MCPAL,Pressure_MCPAR,EGaIn_DIP,EGaIn_PIP,EGaIn_MCPL,EGaIn_MCPR,FORCE1,FORCE2,FORCE3,FORCE4,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z,T_Force_X,T_Force_Y,T_Force_Z,T_Torque_X,T_Torque_Y,T_Torque_Z
1,3,403,-0.149591,0.0779314,-0.0207517,-0.0333438,1.63086,1.09812,0.627501,0.627567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000207,-0.019202,0.064266,0.005607,0.146292,0.140921
2,3,405,-0.145886,0.0959535,-0.160673,-0.0647936,1.63086,1.09812,0.627494,0.627561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001292,-0.022741,0.050726,-0.06541,0.137631,0.144234
3,3,406,-0.149693,0.107011,-0.070636,-0.0597998,1.63086,1.09812,0.62749,0.627562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002631,-0.022523,0.055052,-0.064337,0.176728,0.170297
4,3,408,-0.147679,0.09772,-0.0724208,-0.0725883,1.63086,1.09813,0.627494,0.627567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000737,-0.021714,0.070903,-0.097031,0.1715,0.132736
5,3,410,-0.131867,0.0822793,-0.0156926,-0.0734796,1.63086,1.09812,0.627494,0.627568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007356,-0.026427,0.05308,-0.087861,0.084904,0.170699
6,3,411,-0.132943,0.101753,-0.0472083,-0.0627986,1.63086,1.09812,0.627496,0.627562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003611,-0.023909,0.06192,-0.047836,0.137575,0.151164
7,3,413,-0.131166,0.0862027,-0.0858565,-0.0569756,1.63086,1.09812,0.627499,0.627564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005651,-0.02514,0.061894,-0.042713,0.147137,0.106804
8,3,414,-0.134064,-0.0147563,-0.156824,-0.0470298,1.63086,1.09812,0.627492,0.627561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001644,-0.025245,0.053161,-0.030959,0.119873,0.133762
9,3,416,-0.155749,0.09025,-0.0844947,-0.0533035,1.63086,1.09812,0.627488,0.62757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003372,-0.028445,0.050597,-0.100298,0.12469,0.215792
10,3,418,-0.164466,0.102021,-0.0186766,-0.0617295,1.63086,1.09812,0.627487,0.627557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003193,-0.021665,0.064132,-0.096423,0.147745,0.134136
11,3,420,-0.233991,0.0988846,-0.109412,-0.0574193,1.63086,1.09812,0.627493,0.627558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002997,-0.021643,0.059642,-0.121157,0.134409,0.161876
12,3,421,-0.161546,0.101863,-0.177947,-0.0545505,1.63086,1.09812,0.627497,0.627556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009256,-0.02758,0.052974,-0.107207,0.09555,0.153571
13,3,423,-0.138507,0.0958402,-0.0234801,-0.0631203,1.63086,1.09812,0.627493,0.627565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00286,-0.022481,0.059355,-0.101433,0.215343,0.144052
14,3,425,-0.141196,-0.0337946,-0.0692187,-0.0480192,1.63086,1.09812,0.627497,0.627557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007396,-0.024111,0.050903,-0.061189,0.077387,0.152878
15,3,426,-0.153527,0.0808452,-0.111598,-0.0623474,1.63086,1.09812,0.627491,0.627568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001041,-0.022697,0.043936,-0.089876,0.139647,0.14584
16,3,428,-0.140651,0.112051,-0.14737,-0.0588835,1.63086,1.09811,0.627494,0.627561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001395,-0.022973,0.059883,-0.067093,0.121357,0.142398
17,3,430,-0.140569,0.0874751,-0.00315185,-0.0669776,1.63086,1.09812,0.627493,0.627565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,-0.022792,0.055315,-0.028489,0.12786,0.142666
18,3,431,-0.137425,0.0885687,-0.0783115,-0.0716247,1.63086,1.09812,0.627493,0.627565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00282,-0.020243,0.05507,-0.075294,0.178055,0.152873
19,3,433,-0.131037,0.0897458,-0.0254916,-0.0719734,1.63086,1.09813,0.627493,0.627561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002477,-0.023029,0.064452,-0.055247,0.137357,0.141035
20,3,435,-0.161825,0.0896723,-0.164746,-0.0522211,1.63086,1.09812,0.627497,0.627565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001179,-0.020485,0.064139,-0.089264,0.160205,0.125093
21,3,436,-0.131831,0.0940814,-0.0167521,-0.0487972,1.63086,1.09813,0.627496,0.627563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000563,-0.028747,0.055312,-0.089865,0.1407,0.160832
22,3,438,-0.164151,0.0820022,-0.0359496,-0.0690166,1.63086,1.09812,0.627489,0.627558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006582,-0.022492,0.052839,-0.051783,0.193655,0.170106
23,3,440,-0.147827,0.0985522,-0.0598558,-0.0459652,1.63086,1.09813,0.627486,0.627565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013285,-0.022993,0.055336,-0.079139,0.055992,0.144217
