NUM,ID,STAMP,Pressure_IP,Pressure_MCPB,Pressure_MCPAL,Pressure_MCPAR,EGaIn_DIP,EGaIn_PIP,EGaIn_MCPL,EGaIn_MCPR,FORCE1,FORCE2,FORCE3,FORCE4,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z,T_Force_X,T_Force_Y,T_Force_Z,T_Torque_X,T_Torque_Y,T_Torque_Z
1,3,180,0.371379,0.646793,-0.121764,1.06817,1.13725,0.980487,0.499352,0.503231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006108,0.027524,-0.031293,0.231192,-0.115432,0.012243
2,3,183,0.383715,0.6614,-0.147471,1.05356,1.13724,0.980482,0.499486,0.502894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002002,0.020536,-0.031419,0.175845,-0.04367,0.012391
3,3,184,0.381803,0.643647,-0.12845,1.07442,1.13725,0.980483,0.499045,0.50264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002222,0.018089,-0.033554,0.19845,-0.077429,0.003282
4,3,186,0.368181,0.647491,-0.133773,1.06815,1.13725,0.980483,0.499415,0.502477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014089,0.020363,-0.029071,0.175177,-0.15775,0.039437
5,3,187,0.378286,0.670181,-0.131064,1.07598,1.13725,0.980484,0.497249,0.501954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003835,0.016907,-0.029264,0.12902,-0.050184,-0.013486
6,0,0,-61.5,-61.5,0.372821,0.645979,0,0,1.09817,0.980478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001884,0.025345,-0.020415,0.16779,-0.030198,0.003083
7,3,191,0.358832,0.654984,-0.151914,1.0539,1.13724,0.980484,0.497208,0.502513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001851,0.022888,-0.026885,0.202515,-0.052119,0.020197
8,3,192,0.369034,0.66067,-0.138745,1.0673,1.13724,0.980483,0.498357,0.501699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007781,0.019453,-0.029142,0.193793,-0.023207,0.046679
9,3,194,0.383555,0.634807,-0.146543,1.0241,1.13725,0.980477,0.495738,0.501111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00601,0.018281,-0.033794,0.162401,-0.077925,0.03137
10,3,196,0.367518,0.64516,-0.129422,1.04049,1.13725,0.980477,0.497732,0.501004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007951,0.014583,-0.033661,0.127329,-0.112636,0.058077
11,3,198,0.372067,0.639366,-0.141478,1.05855,1.13725,0.980488,0.498988,0.50389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002321,0.020384,-0.026951,0.125054,-0.027067,-0.014048
12,3,199,0.38541,0.648072,-0.148296,1.05745,1.13725,0.980493,0.49769,0.502801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001775,0.013513,-0.031589,0.095729,-0.044871,0.040456
13,3,201,0.383782,0.642768,-0.139455,1.04826,1.13725,0.980486,0.498942,0.502337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-05,0.024167,-0.022536,0.185372,-0.048837,0.038106
14,3,202,0.387452,0.650215,-0.130462,1.06129,1.13725,0.980483,0.498058,0.50197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009874,0.017992,-0.038027,0.14834,-0.13904,0.031911
15,3,203,0.366956,0.655208,-0.130222,1.06992,1.13724,0.980474,0.495683,0.500405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007587,0.021667,-0.031563,0.120874,-0.079977,0.005527
16,3,206,0.402002,0.672877,-0.132764,1.05219,1.13724,0.98047,0.496042,0.501092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005865,0.018108,-0.03593,0.148974,-0.084586,0.005042
17,3,208,0.377406,0.656289,-0.133201,1.03561,1.13725,0.98048,0.497522,0.500791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00589,0.016131,-0.036291,0.136971,-0.03971,0.023721
18,3,209,0.392938,0.662211,-0.130396,1.0636,1.13725,0.980487,0.49771,0.501423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004287,0.018862,-0.019805,0.190397,-0.113517,-0.008071
19,3,211,0.378392,0.648019,-0.138497,1.03219,1.13724,0.980489,0.498317,0.501374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008262,0.014547,-0.033574,0.176973,-0.114809,0.030411
20,3,213,0.394236,0.655722,-0.13975,1.05054,1.13724,0.980481,0.497451,0.501649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005657,0.017991,-0.024751,0.098182,-0.068915,0.004229
21,3,214,0.375017,0.638777,-0.156626,1.0676,1.13725,0.980479,0.4971,0.502162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004191,0.019361,-0.031407,0.193761,-0.081901,0.021229
22,3,1,0.395864,0.644833,-0.137562,1.05561,1.13725,0.980482,0.49647,0.50218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006458,0.018151,-0.029125,0.223791,-0.08878,0.002569
23,3,3,0.543203,6.01562,-0.138072,1.05454,1.09817,0.941288,0.52095,0.525951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013757,0.019747,-0.046598,0.160119,0.107904,-0.042155
24,3,5,0.818461,9.39564,-0.12434,1.04125,1.13727,0.980403,0.535689,0.535271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021759,0.017819,-0.033117,0.208315,0.002448,0.000465
25,3,5,0.818461,9.39564,-0.12434,1.04125,1.13727,0.980403,0.535689,0.535271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033454,0.020623,-0.040931,0.091444,0.122166,0.015175
26,3,5,0.818461,9.39564,-0.12434,1.04125,1.13727,0.980403,0.535689,0.535271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003745,0.014641,-0.038393,0.128061,-0.012121,-0.073993
27,3,5,0.818461,9.39564,-0.12434,1.04125,1.13727,0.980403,0.535689,0.535271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010045,0.023944,-0.023541,0.196627,-0.253509,-0.026277
28,3,8,9.64212,20.9311,-0.130968,1.04098,1.17647,1.01969,0.582806,0.586264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014274,0.020058,-0.017634,0.185508,-0.167354,0.010332
29,3,9,12.1431,19.9624,-0.127386,1.05895,1.17652,1.01967,0.595865,0.597425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011876,0.015719,-0.041652,0.147667,0.066098,-0.044237
30,3,10,13.993,20.3618,-0.126966,1.05532,1.17654,1.01965,0.613317,0.619044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027563,0.012255,-0.06091,0.10296,0.135878,-0.027837
