NUM,ID,STAMP,Pressure_IP,Pressure_MCPB,Pressure_MCPAL,Pressure_MCPAR,EGaIn_DIP,EGaIn_PIP,EGaIn_MCPL,EGaIn_MCPR,FORCE1,FORCE2,FORCE3,FORCE4,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z,T_Force_X,T_Force_Y,T_Force_Z,T_Torque_X,T_Torque_Y,T_Torque_Z
1,3,320,0.457398,0.713754,-0.0663899,0.973451,0.862767,0.705897,0.229806,0.234503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006102,0.020483,-0.031277,0.175549,-0.138163,0.092421
2,3,321,0.442042,0.723086,-0.0685923,0.978593,0.862741,0.705882,0.228374,0.234526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012033,0.019212,-0.022386,0.142941,-0.145371,0.074312
3,3,323,0.441917,0.727826,-0.0524218,0.973807,0.862764,0.705901,0.225555,0.235444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013752,0.013293,-0.047077,0.120074,-0.147914,0.016095
4,3,325,0.447256,0.719489,-0.0577945,0.955358,0.823665,0.705881,0.226781,0.237274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014055,0.020225,-0.024496,0.161748,-0.165343,0.038736
5,3,326,0.464737,0.723777,-0.0698532,0.962465,0.862745,0.705891,0.226845,0.235748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008172,0.021286,-0.026531,0.192941,-0.159057,0.028874
6,3,328,0.457543,0.734184,-0.052632,0.974242,0.862746,0.705888,0.229074,0.233582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015895,0.019329,-0.056058,0.194614,-0.167581,-0.000862
7,3,330,0.448017,0.71006,-0.069759,0.982933,0.862743,0.705888,0.228084,0.234664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018192,0.025477,-0.033801,0.219061,-0.174379,0.085046
8,3,331,0.457794,0.733958,-0.0527619,0.965623,0.862738,0.705885,0.230073,0.233683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010352,0.02307,-0.024785,0.216349,-0.119509,0.074007
9,3,333,0.446574,0.727502,-0.0425913,0.979342,0.862763,0.705899,0.229524,0.235755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013527,0.017912,-0.06263,0.148687,-0.175351,-0.017434
10,3,335,0.476097,0.728352,-0.0537814,0.973625,0.862747,0.705889,0.226537,0.235138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014409,0.01581,-0.026905,0.184636,-0.15265,0.074249
