NUM,ID,STAMP,Pressure_IP,Pressure_MCPB,Pressure_MCPAL,Pressure_MCPAR,EGaIn_DIP,EGaIn_PIP,EGaIn_MCPL,EGaIn_MCPR,FORCE1,FORCE2,FORCE3,FORCE4,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z,T_Force_X,T_Force_Y,T_Force_Z,T_Torque_X,T_Torque_Y,T_Torque_Z
1,3,1052,1.31366,1.32092,1.31531,1.25862,1.17652,0.980439,0.566683,0.5577,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005878,0.024314,-0.032901,0.199212,-0.167429,-0.077444
2,3,1053,1.291,1.29503,1.31867,1.2494,1.17652,0.98044,0.564632,0.556563,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015718,0.008504,-0.034861,0.07801,-0.259344,-0.040916
3,3,1056,1.25866,1.28216,1.30512,1.2092,1.17653,0.980439,0.56578,0.557405,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009586,0.021721,-0.030555,0.13357,-0.205518,-0.059156
4,3,1057,1.29034,1.28807,1.317,1.25716,1.17653,0.98044,0.564486,0.557314,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013709,0.014721,-0.037322,0.115993,-0.231071,-0.031414
5,3,1059,1.30818,1.29861,1.32293,1.24225,1.17653,0.98044,0.564505,0.556218,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005488,0.016938,-0.02166,0.079178,-0.151373,-0.077846
6,3,1060,1.28882,1.28037,1.29697,1.23207,1.17652,0.98044,0.566501,0.556399,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0096,0.017234,-0.037481,0.118831,-0.18305,-0.048872
7,3,1062,1.31189,1.3031,1.30971,1.26776,1.17652,0.98044,0.565205,0.55695,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007657,0.022765,-0.034879,0.164931,-0.208562,-0.094923
8,3,1064,1.28853,1.31269,1.28608,1.2409,1.17653,0.980444,0.568253,0.557587,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003741,0.01815,-0.037142,0.14905,-0.192111,-0.059398
9,3,1065,1.26182,1.30397,1.29208,1.22906,1.17653,0.980445,0.565697,0.557462,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007939,0.022844,-0.028161,0.190104,-0.210583,-0.06973
10,3,1067,1.31714,1.2618,1.30163,1.27308,1.17652,0.980437,0.565262,0.557141,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009624,0.017089,-0.035108,0.117856,-0.198397,-0.049537
11,3,1069,1.28638,1.29958,1.29079,1.23001,1.17653,0.980442,0.56551,0.556179,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011655,0.020598,-0.026152,0.126677,-0.203558,-0.05062
12,3,1070,1.3126,1.30306,1.33586,1.25036,1.17652,0.980442,0.565313,0.556664,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003779,0.020452,-0.034817,0.163,-0.207225,-0.051122
13,3,1072,1.2741,1.28538,1.30037,1.23753,1.17652,0.980442,0.564561,0.555398,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002548,0.019258,-0.023768,0.093062,-0.131543,-0.069519
14,3,1074,1.30624,1.30051,1.31383,1.24323,1.17652,0.980437,0.565831,0.555825,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005975,0.021824,-0.028252,0.183752,-0.198366,-0.034117
15,3,1076,1.29276,1.33646,1.30558,1.2247,1.17653,0.980444,0.565295,0.557809,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005727,0.021883,-0.039544,0.172008,-0.188753,-0.058608
16,3,1077,1.31502,1.31268,1.31051,1.2676,1.17652,0.980447,0.565856,0.55816,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009875,0.018893,-0.030085,0.166074,-0.253038,-0.096583
17,3,1079,1.28967,1.30162,1.28681,1.23762,1.17653,0.980445,0.564777,0.554801,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011792,0.013491,-0.030558,0.108225,-0.219776,-0.023771
18,3,1080,1.31496,1.29587,1.3052,1.26121,1.17652,0.980446,0.566413,0.556809,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007442,0.025253,-0.030623,0.14276,-0.169714,-0.112228
19,3,1082,1.32258,1.33485,1.3341,1.28117,1.17653,0.980444,0.565535,0.558434,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013532,0.014425,-0.039386,0.101859,-0.237727,-0.08454
