NUM,ID,STAMP,Pressure_IP,Pressure_MCPB,Pressure_MCPAL,Pressure_MCPAR,EGaIn_DIP,EGaIn_PIP,EGaIn_MCPL,EGaIn_MCPR,FORCE1,FORCE2,FORCE3,FORCE4,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z,T_Force_X,T_Force_Y,T_Force_Z,T_Torque_X,T_Torque_Y,T_Torque_Z
1,3,1881,-0.30852,-0.323892,-0.2953,0.0160488,1.55289,0.86283,0.618645,0.386291,0.357459,0.968782,0.381659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,1883,-0.327675,-0.416634,-0.318116,0.014627,1.59435,0.862823,0.61714,0.386065,0.363452,0.96555,0.378046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1885,-0.339719,-0.155999,-0.305657,0.015963,1.59195,0.862811,0.616959,0.386686,0.359472,0.966305,0.358619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,1886,-0.322084,-0.239825,-0.32849,0.00910624,1.59435,0.862819,0.616675,0.387644,0.358152,0.965958,0.357841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,1888,-0.331438,-0.220098,-0.332412,-0.0125071,1.59195,0.862804,0.619231,0.385711,0.365419,0.967575,0.366136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,1890,-0.307145,-0.222364,-0.314268,0.0126941,1.55289,0.86283,0.617359,0.3865,0.360526,0.973251,0.365593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,1891,-0.319595,-0.219665,-0.313567,0.00340463,1.59195,0.862809,0.617955,0.386304,0.361429,0.971682,0.370051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,1893,-0.309102,-0.254873,-0.261549,0.0150339,1.55289,0.862834,0.618401,0.387155,0.353312,0.973215,0.36756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,1895,-0.331692,-0.156908,-0.244031,-0.000663527,1.59435,0.862828,0.618994,0.387308,0.357842,0.980971,0.372312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,1896,-0.314026,-0.221055,-0.308359,0.0141366,1.55289,0.862837,0.617599,0.385903,0.353449,0.981867,0.373289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
